scenario,dest,year,edu,nativity,pop
benchmark,AUT,2050,4,native,750876
benchmark,AUT,2050,4,non-eu,209506
benchmark,AUT,2050,5,eu,207443
benchmark,AUT,2050,5,native,3031888
benchmark,AUT,2050,5,non-eu,605926
benchmark,AUT,2050,6,eu,202983
benchmark,AUT,2050,6,native,3038653
benchmark,AUT,2050,6,non-eu,489811
benchmark,BEL,2015,1,eu,83395
benchmark,BEL,2015,1,native,1776138
benchmark,BEL,2015,1,non-eu,53169
benchmark,BEL,2015,2,eu,17394
benchmark,BEL,2015,2,native,179566
benchmark,BEL,2015,2,non-eu,37323
benchmark,BEL,2015,3,eu,78172
benchmark,BEL,2015,3,native,893949
benchmark,BEL,2015,3,non-eu,67836
benchmark,BEL,2015,4,eu,161609
benchmark,BEL,2015,4,native,1905979
benchmark,BEL,2015,4,non-eu,178283
benchmark,BEL,2015,5,eu,236228
benchmark,BEL,2015,5,native,2198054
benchmark,BEL,2015,5,non-eu,228514
benchmark,BEL,2015,6,eu,230861
benchmark,BEL,2015,6,native,2152062
benchmark,BEL,2015,6,non-eu,240868
benchmark,BEL,2020,1,eu,61542
benchmark,BEL,2020,1,native,1217057
benchmark,BEL,2020,1,non-eu,148484
benchmark,BEL,2020,2,eu,14107
benchmark,BEL,2020,2,native,150032
benchmark,BEL,2020,2,non-eu,48165
benchmark,BEL,2020,3,eu,69697
benchmark,BEL,2020,3,native,763783
benchmark,BEL,2020,3,non-eu,89383
benchmark,BEL,2020,4,eu,154921
benchmark,BEL,2020,4,native,2015701
benchmark,BEL,2020,4,non-eu,184103
benchmark,BEL,2020,5,eu,261080
benchmark,BEL,2020,5,native,2660668
benchmark,BEL,2020,5,non-eu,259197
benchmark,BEL,2020,6,eu,228902
benchmark,BEL,2020,6,native,2488406
benchmark,BEL,2020,6,non-eu,241220
benchmark,BEL,2025,1,eu,29939
benchmark,BEL,2025,1,native,619644
benchmark,BEL,2025,1,non-eu,176861
benchmark,BEL,2025,2,eu,11844
benchmark,BEL,2025,2,native,123815
benchmark,BEL,2025,2,non-eu,69242
benchmark,BEL,2025,3,eu,62385
benchmark,BEL,2025,3,native,670776
benchmark,BEL,2025,3,non-eu,122477
benchmark,BEL,2025,4,eu,147661
benchmark,BEL,2025,4,native,1919696
benchmark,BEL,2025,4,non-eu,215490
benchmark,BEL,2025,5,eu,277043
benchmark,BEL,2025,5,native,3177938
benchmark,BEL,2025,5,non-eu,307323
benchmark,BEL,2025,6,eu,239290
benchmark,BEL,2025,6,native,2965462
benchmark,BEL,2025,6,non-eu,264024
benchmark,BEL,2030,1,eu,4618
benchmark,BEL,2030,1,native,8622
benchmark,BEL,2030,1,non-eu,164748
benchmark,BEL,2030,2,eu,9563
benchmark,BEL,2030,2,native,101676
benchmark,BEL,2030,2,non-eu,96185
benchmark,BEL,2030,3,eu,53064
benchmark,BEL,2030,3,native,580919
benchmark,BEL,2030,3,non-eu,161523
benchmark,BEL,2030,4,eu,130121
benchmark,BEL,2030,4,native,1887923
benchmark,BEL,2030,4,non-eu,261727
benchmark,BEL,2030,5,eu,285183
benchmark,BEL,2030,5,native,3571297
benchmark,BEL,2030,5,non-eu,380975
benchmark,BEL,2030,6,eu,254552
benchmark,BEL,2030,6,native,3493590
benchmark,BEL,2030,6,non-eu,309621
benchmark,BEL,2035,1,eu,863
benchmark,BEL,2035,1,native,10048
benchmark,BEL,2035,1,non-eu,173412
benchmark,BEL,2035,2,eu,7580
benchmark,BEL,2035,2,native,81361
benchmark,BEL,2035,2,non-eu,122040
benchmark,BEL,2035,3,eu,43729
benchmark,BEL,2035,3,native,493214
benchmark,BEL,2035,3,non-eu,193423
benchmark,BEL,2035,4,eu,109904
benchmark,BEL,2035,4,native,1738644
benchmark,BEL,2035,4,non-eu,303513
benchmark,BEL,2035,5,eu,277453
benchmark,BEL,2035,5,native,3759650
benchmark,BEL,2035,5,non-eu,467704
benchmark,BEL,2035,6,eu,261808
benchmark,BEL,2035,6,native,3733630
benchmark,BEL,2035,6,non-eu,373588
benchmark,BEL,2040,1,eu,1012
benchmark,BEL,2040,1,native,10387
benchmark,BEL,2040,1,non-eu,194336
benchmark,BEL,2040,2,eu,5976
benchmark,BEL,2040,2,native,65645
benchmark,BEL,2040,2,non-eu,149674
benchmark,BEL,2040,3,eu,35222
benchmark,BEL,2040,3,native,418594
benchmark,BEL,2040,3,non-eu,222890
benchmark,BEL,2040,4,eu,94919
benchmark,BEL,2040,4,native,1589556
benchmark,BEL,2040,4,non-eu,338271
benchmark,BEL,2040,5,eu,262205
benchmark,BEL,2040,5,native,3889476
benchmark,BEL,2040,5,non-eu,567645
benchmark,BEL,2040,6,eu,261124
benchmark,BEL,2040,6,native,4034286
benchmark,BEL,2040,6,non-eu,459741
benchmark,BEL,2045,1,eu,1085
benchmark,BEL,2045,1,native,10734
benchmark,BEL,2045,1,non-eu,210672
benchmark,BEL,2045,2,eu,4849
benchmark,BEL,2045,2,native,53217
benchmark,BEL,2045,2,non-eu,182551
benchmark,BEL,2045,3,eu,28036
benchmark,BEL,2045,3,native,357150
benchmark,BEL,2045,3,non-eu,256051
benchmark,BEL,2045,4,eu,79951
benchmark,BEL,2045,4,native,1432175
benchmark,BEL,2045,4,non-eu,383363
benchmark,BEL,2045,5,eu,245312
benchmark,BEL,2045,5,native,3990666
benchmark,BEL,2045,5,non-eu,685850
benchmark,BEL,2045,6,eu,257399
benchmark,BEL,2045,6,native,4369843
benchmark,BEL,2045,6,non-eu,569276
benchmark,BEL,2050,1,eu,1201
benchmark,BEL,2050,1,native,11108
benchmark,BEL,2050,1,non-eu,223683
benchmark,BEL,2050,2,eu,3944
benchmark,BEL,2050,2,native,44079
benchmark,BEL,2050,2,non-eu,220298
benchmark,BEL,2050,3,eu,22213
benchmark,BEL,2050,3,native,310637
benchmark,BEL,2050,3,non-eu,292352
benchmark,BEL,2050,4,eu,66569
benchmark,BEL,2050,4,native,1295509
benchmark,BEL,2050,4,non-eu,439700
benchmark,BEL,2050,5,eu,225647
benchmark,BEL,2050,5,native,4055991
benchmark,BEL,2050,5,non-eu,829942
benchmark,BEL,2050,6,eu,251476
benchmark,BEL,2050,6,native,4710493
benchmark,BEL,2050,6,non-eu,704505
benchmark,BGR,2015,1,eu,23334
benchmark,BGR,2015,1,native,964541
benchmark,BGR,2015,1,non-eu,10334
benchmark,BGR,2015,2,eu,702
benchmark,BGR,2015,2,native,146227
benchmark,BGR,2015,2,non-eu,1575
benchmark,BGR,2015,3,eu,3083
benchmark,BGR,2015,3,native,339503
benchmark,BGR,2015,3,non-eu,5168
benchmark,BGR,2015,4,eu,4838
benchmark,BGR,2015,4,native,1486762
benchmark,BGR,2015,4,non-eu,15711
benchmark,BGR,2015,5,eu,5962
benchmark,BGR,2015,5,native,2757300
benchmark,BGR,2015,5,non-eu,22930
benchmark,BGR,2015,6,eu,5060
benchmark,BGR,2015,6,native,1383056
benchmark,BGR,2015,6,non-eu,19661
benchmark,BGR,2020,1,eu,19925
benchmark,BGR,2020,1,native,648935
benchmark,BGR,2020,1,non-eu,16163
benchmark,BGR,2020,2,eu,1174
benchmark,BGR,2020,2,native,105536
benchmark,BGR,2020,2,non-eu,6243
benchmark,BGR,2020,3,eu,3000
benchmark,BGR,2020,3,native,248356
benchmark,BGR,2020,3,non-eu,9066
benchmark,BGR,2020,4,eu,5602
benchmark,BGR,2020,4,native,1312938
benchmark,BGR,2020,4,non-eu,18769
benchmark,BGR,2020,5,eu,7616
benchmark,BGR,2020,5,native,2824553
benchmark,BGR,2020,5,non-eu,31949
benchmark,BGR,2020,6,eu,5846
benchmark,BGR,2020,6,native,1566660
benchmark,BGR,2020,6,non-eu,23802
benchmark,BGR,2025,1,eu,13747
benchmark,BGR,2025,1,native,320535
benchmark,BGR,2025,1,non-eu,14975
benchmark,BGR,2025,2,eu,1440
benchmark,BGR,2025,2,native,101037
benchmark,BGR,2025,2,non-eu,8280
benchmark,BGR,2025,3,eu,3039
benchmark,BGR,2025,3,native,233862
benchmark,BGR,2025,3,non-eu,11214
benchmark,BGR,2025,4,eu,7585
benchmark,BGR,2025,4,native,1180155
benchmark,BGR,2025,4,non-eu,20906
benchmark,BGR,2025,5,eu,10152
benchmark,BGR,2025,5,native,2865370
benchmark,BGR,2025,5,non-eu,40365
benchmark,BGR,2025,6,eu,7093
benchmark,BGR,2025,6,native,1647922
benchmark,BGR,2025,6,non-eu,27302
benchmark,BGR,2030,1,eu,549
benchmark,BGR,2030,1,native,25641
benchmark,BGR,2030,1,non-eu,10605
benchmark,BGR,2030,2,eu,1495
benchmark,BGR,2030,2,native,93620
benchmark,BGR,2030,2,non-eu,10322
benchmark,BGR,2030,3,eu,3349
benchmark,BGR,2030,3,native,211409
benchmark,BGR,2030,3,non-eu,13631
benchmark,BGR,2030,4,eu,12980
benchmark,BGR,2030,4,native,1035403
benchmark,BGR,2030,4,non-eu,24269
benchmark,BGR,2030,5,eu,15142
benchmark,BGR,2030,5,native,2895478
benchmark,BGR,2030,5,non-eu,50241
benchmark,BGR,2030,6,eu,9081
benchmark,BGR,2030,6,native,1748350
benchmark,BGR,2030,6,non-eu,32597
benchmark,BGR,2035,1,eu,613
benchmark,BGR,2035,1,native,26093
benchmark,BGR,2035,1,non-eu,11451
benchmark,BGR,2035,2,eu,1484
benchmark,BGR,2035,2,native,82309
benchmark,BGR,2035,2,non-eu,12198
benchmark,BGR,2035,3,eu,2676
benchmark,BGR,2035,3,native,188772
benchmark,BGR,2035,3,non-eu,15643
benchmark,BGR,2035,4,eu,5151
benchmark,BGR,2035,4,native,881197
benchmark,BGR,2035,4,non-eu,25215
benchmark,BGR,2035,5,eu,20237
benchmark,BGR,2035,5,native,2771564
benchmark,BGR,2035,5,non-eu,59284
benchmark,BGR,2035,6,eu,12244
benchmark,BGR,2035,6,native,1746659
benchmark,BGR,2035,6,non-eu,38355
benchmark,BGR,2040,1,eu,633
benchmark,BGR,2040,1,native,25068
benchmark,BGR,2040,1,non-eu,13056
benchmark,BGR,2040,2,eu,1375
benchmark,BGR,2040,2,native,75376
benchmark,BGR,2040,2,non-eu,13947
benchmark,BGR,2040,3,eu,2420
benchmark,BGR,2040,3,native,172160
benchmark,BGR,2040,3,non-eu,17649
benchmark,BGR,2040,4,eu,4710
benchmark,BGR,2040,4,native,736997
benchmark,BGR,2040,4,non-eu,27381
benchmark,BGR,2040,5,eu,17429
benchmark,BGR,2040,5,native,2653860
benchmark,BGR,2040,5,non-eu,67426
benchmark,BGR,2040,6,eu,15295
benchmark,BGR,2040,6,native,1750260
benchmark,BGR,2040,6,non-eu,44886
benchmark,BGR,2045,1,eu,706
benchmark,BGR,2045,1,native,23652
benchmark,BGR,2045,1,non-eu,14391
benchmark,BGR,2045,2,eu,1387
benchmark,BGR,2045,2,native,69019
benchmark,BGR,2045,2,non-eu,16023
benchmark,BGR,2045,3,eu,2261
benchmark,BGR,2045,3,native,156961
benchmark,BGR,2045,3,non-eu,19962
benchmark,BGR,2045,4,eu,4334
benchmark,BGR,2045,4,native,623832
benchmark,BGR,2045,4,non-eu,29492
benchmark,BGR,2045,5,eu,17012
benchmark,BGR,2045,5,native,2516620
benchmark,BGR,2045,5,non-eu,76929
benchmark,BGR,2045,6,eu,15637
benchmark,BGR,2045,6,native,1768356
benchmark,BGR,2045,6,non-eu,52539
benchmark,BGR,2050,1,eu,733
benchmark,BGR,2050,1,native,22243
benchmark,BGR,2050,1,non-eu,15738
benchmark,BGR,2050,2,eu,1313
benchmark,BGR,2050,2,native,63376
benchmark,BGR,2050,2,non-eu,18122
benchmark,BGR,2050,3,eu,2063
benchmark,BGR,2050,3,native,143903
benchmark,BGR,2050,3,non-eu,22414
benchmark,BGR,2050,4,eu,3950
benchmark,BGR,2050,4,native,536518
benchmark,BGR,2050,4,non-eu,32278
benchmark,BGR,2050,5,eu,16418
benchmark,BGR,2050,5,native,2374294
benchmark,BGR,2050,5,non-eu,87321
benchmark,BGR,2050,6,eu,15748
benchmark,BGR,2050,6,native,1783567
benchmark,BGR,2050,6,non-eu,61816
benchmark,CYP,2015,1,eu,8867
benchmark,CYP,2015,1,native,125611
benchmark,CYP,2015,1,non-eu,4454
benchmark,CYP,2015,2,eu,1258
benchmark,CYP,2015,2,native,31024
benchmark,CYP,2015,2,non-eu,1904
benchmark,CYP,2015,3,eu,6129
benchmark,CYP,2015,3,native,97592
benchmark,CYP,2015,3,non-eu,4334
benchmark,CYP,2015,4,eu,17347
benchmark,CYP,2015,4,native,60809
benchmark,CYP,2015,4,non-eu,18909
benchmark,CYP,2015,5,eu,28691
benchmark,CYP,2015,5,native,185684
benchmark,CYP,2015,5,non-eu,20454
benchmark,CYP,2015,6,eu,30479
benchmark,CYP,2015,6,native,159308
benchmark,CYP,2015,6,non-eu,27721
benchmark,CYP,2020,1,eu,7067
benchmark,CYP,2020,1,native,85058
benchmark,CYP,2020,1,non-eu,14701
benchmark,CYP,2020,2,eu,1638
benchmark,CYP,2020,2,native,22274
benchmark,CYP,2020,2,non-eu,6631
benchmark,CYP,2020,3,eu,6377
benchmark,CYP,2020,3,native,83942
benchmark,CYP,2020,3,non-eu,9630
benchmark,CYP,2020,4,eu,16849
benchmark,CYP,2020,4,native,68974
benchmark,CYP,2020,4,non-eu,20788
benchmark,CYP,2020,5,eu,31791
benchmark,CYP,2020,5,native,201360
benchmark,CYP,2020,5,non-eu,30336
benchmark,CYP,2020,6,eu,34167
benchmark,CYP,2020,6,native,205899
benchmark,CYP,2020,6,non-eu,34469
benchmark,CYP,2025,1,eu,4036
benchmark,CYP,2025,1,native,44452
benchmark,CYP,2025,1,non-eu,16535
benchmark,CYP,2025,2,eu,1981
benchmark,CYP,2025,2,native,16281
benchmark,CYP,2025,2,non-eu,9348
benchmark,CYP,2025,3,eu,6395
benchmark,CYP,2025,3,native,73329
benchmark,CYP,2025,3,non-eu,13290
benchmark,CYP,2025,4,eu,16525
benchmark,CYP,2025,4,native,66153
benchmark,CYP,2025,4,non-eu,23341
benchmark,CYP,2025,5,eu,35123
benchmark,CYP,2025,5,native,226286
benchmark,CYP,2025,5,non-eu,40959
benchmark,CYP,2025,6,eu,36514
benchmark,CYP,2025,6,native,249346
benchmark,CYP,2025,6,non-eu,40934
benchmark,CYP,2030,1,eu,1014
benchmark,CYP,2030,1,native,1109
benchmark,CYP,2030,1,non-eu,14529
benchmark,CYP,2030,2,eu,1893
benchmark,CYP,2030,2,native,11515
benchmark,CYP,2030,2,non-eu,11958
benchmark,CYP,2030,3,eu,5882
benchmark,CYP,2030,3,native,62122
benchmark,CYP,2030,3,non-eu,17383
benchmark,CYP,2030,4,eu,15862
benchmark,CYP,2030,4,native,68233
benchmark,CYP,2030,4,non-eu,27811
benchmark,CYP,2030,5,eu,36928
benchmark,CYP,2030,5,native,245393
benchmark,CYP,2030,5,non-eu,53371
benchmark,CYP,2030,6,eu,39006
benchmark,CYP,2030,6,native,292002
benchmark,CYP,2030,6,non-eu,50006
benchmark,CYP,2035,1,eu,597
benchmark,CYP,2035,1,native,1168
benchmark,CYP,2035,1,non-eu,15514
benchmark,CYP,2035,2,eu,1814
benchmark,CYP,2035,2,native,7829
benchmark,CYP,2035,2,non-eu,14439
benchmark,CYP,2035,3,eu,5237
benchmark,CYP,2035,3,native,50558
benchmark,CYP,2035,3,non-eu,20703
benchmark,CYP,2035,4,eu,14314
benchmark,CYP,2035,4,native,63102
benchmark,CYP,2035,4,non-eu,31857
benchmark,CYP,2035,5,eu,36716
benchmark,CYP,2035,5,native,248667
benchmark,CYP,2035,5,non-eu,65664
benchmark,CYP,2035,6,eu,40300
benchmark,CYP,2035,6,native,311388
benchmark,CYP,2035,6,non-eu,60346
benchmark,CYP,2040,1,eu,707
benchmark,CYP,2040,1,native,1226
benchmark,CYP,2040,1,non-eu,17977
benchmark,CYP,2040,2,eu,1653
benchmark,CYP,2040,2,native,5310
benchmark,CYP,2040,2,non-eu,16802
benchmark,CYP,2040,3,eu,4499
benchmark,CYP,2040,3,native,39883
benchmark,CYP,2040,3,non-eu,23750
benchmark,CYP,2040,4,eu,12836
benchmark,CYP,2040,4,native,57795
benchmark,CYP,2040,4,non-eu,35122
benchmark,CYP,2040,5,eu,35605
benchmark,CYP,2040,5,native,247977
benchmark,CYP,2040,5,non-eu,78226
benchmark,CYP,2040,6,eu,40661
benchmark,CYP,2040,6,native,333177
benchmark,CYP,2040,6,non-eu,73064
benchmark,CYP,2045,1,eu,747
benchmark,CYP,2045,1,native,1289
benchmark,CYP,2045,1,non-eu,19997
benchmark,CYP,2045,2,eu,1602
benchmark,CYP,2045,2,native,3765
benchmark,CYP,2045,2,non-eu,19575
benchmark,CYP,2045,3,eu,3902
benchmark,CYP,2045,3,native,30609
benchmark,CYP,2045,3,non-eu,26968
benchmark,CYP,2045,4,eu,11184
benchmark,CYP,2045,4,native,52600
benchmark,CYP,2045,4,non-eu,38460
benchmark,CYP,2045,5,eu,34031
benchmark,CYP,2045,5,native,245040
benchmark,CYP,2045,5,non-eu,91293
benchmark,CYP,2045,6,eu,40540
benchmark,CYP,2045,6,native,356689
benchmark,CYP,2045,6,non-eu,88585
benchmark,CYP,2050,1,eu,849
benchmark,CYP,2050,1,native,1364
benchmark,CYP,2050,1,non-eu,21886
benchmark,CYP,2050,2,eu,1481
benchmark,CYP,2050,2,native,2947
benchmark,CYP,2050,2,non-eu,22275
benchmark,CYP,2050,3,eu,3321
benchmark,CYP,2050,3,native,23105
benchmark,CYP,2050,3,non-eu,30104
benchmark,CYP,2050,4,eu,9614
benchmark,CYP,2050,4,native,48297
benchmark,CYP,2050,4,non-eu,42242
benchmark,CYP,2050,5,eu,31927
benchmark,CYP,2050,5,native,240534
benchmark,CYP,2050,5,non-eu,105249
benchmark,CYP,2050,6,eu,40019
benchmark,CYP,2050,6,native,380374
benchmark,CYP,2050,6,non-eu,106382
benchmark,CZE,2015,1,eu,4810
benchmark,CZE,2015,1,native,1585755
benchmark,CZE,2015,1,non-eu,10839
benchmark,CZE,2015,2,eu,2126
benchmark,CZE,2015,2,native,35509
benchmark,CZE,2015,2,non-eu,4723
benchmark,CZE,2015,3,eu,10344
benchmark,CZE,2015,3,native,23612
benchmark,CZE,2015,3,non-eu,14666
benchmark,CZE,2015,4,eu,29491
benchmark,CZE,2015,4,native,1418536
benchmark,CZE,2015,4,non-eu,55126
benchmark,CZE,2015,5,eu,50753
benchmark,CZE,2015,5,native,5378096
benchmark,CZE,2015,5,non-eu,79468
benchmark,CZE,2015,6,eu,57383
benchmark,CZE,2015,6,native,1430120
benchmark,CZE,2015,6,non-eu,71895
benchmark,CZE,2020,1,eu,6164
benchmark,CZE,2020,1,native,1120569
benchmark,CZE,2020,1,non-eu,25546
benchmark,CZE,2020,2,eu,2104
benchmark,CZE,2020,2,native,29355
benchmark,CZE,2020,2,non-eu,9435
benchmark,CZE,2020,3,eu,8884
benchmark,CZE,2020,3,native,30932
benchmark,CZE,2020,3,non-eu,18592
benchmark,CZE,2020,4,eu,25899
benchmark,CZE,2020,4,native,1266145
benchmark,CZE,2020,4,non-eu,54653
benchmark,CZE,2020,5,eu,62959
benchmark,CZE,2020,5,native,5641453
benchmark,CZE,2020,5,non-eu,118154
benchmark,CZE,2020,6,eu,51814
benchmark,CZE,2020,6,native,1719072
benchmark,CZE,2020,6,non-eu,75423
benchmark,CZE,2025,1,eu,4388
benchmark,CZE,2025,1,native,553128
benchmark,CZE,2025,1,non-eu,25196
benchmark,CZE,2025,2,eu,2246
benchmark,CZE,2025,2,native,27790
benchmark,CZE,2025,2,non-eu,12499
benchmark,CZE,2025,3,eu,7735
benchmark,CZE,2025,3,native,35435
benchmark,CZE,2025,3,non-eu,23187
benchmark,CZE,2025,4,eu,24516
benchmark,CZE,2025,4,native,1320518
benchmark,CZE,2025,4,non-eu,61397
benchmark,CZE,2025,5,eu,67640
benchmark,CZE,2025,5,native,5798148
benchmark,CZE,2025,5,non-eu,150411
benchmark,CZE,2025,6,eu,51057
benchmark,CZE,2025,6,native,1942836
benchmark,CZE,2025,6,non-eu,85208
benchmark,CZE,2030,1,eu,1568
benchmark,CZE,2030,1,native,7817
benchmark,CZE,2030,1,non-eu,16669
benchmark,CZE,2030,2,eu,2034
benchmark,CZE,2030,2,native,25097
benchmark,CZE,2030,2,non-eu,15467
benchmark,CZE,2030,3,eu,6533
benchmark,CZE,2030,3,native,32986
benchmark,CZE,2030,3,non-eu,28313
benchmark,CZE,2030,4,eu,22234
benchmark,CZE,2030,4,native,1216418
benchmark,CZE,2030,4,non-eu,69815
benchmark,CZE,2030,5,eu,70788
benchmark,CZE,2030,5,native,5996326
benchmark,CZE,2030,5,non-eu,186009
benchmark,CZE,2030,6,eu,51192
benchmark,CZE,2030,6,native,2208809
benchmark,CZE,2030,6,non-eu,99040
benchmark,CZE,2035,1,eu,661
benchmark,CZE,2035,1,native,6998
benchmark,CZE,2035,1,non-eu,15400
benchmark,CZE,2035,2,eu,1879
benchmark,CZE,2035,2,native,20753
benchmark,CZE,2035,2,non-eu,18007
benchmark,CZE,2035,3,eu,5406
benchmark,CZE,2035,3,native,27053
benchmark,CZE,2035,3,non-eu,31916
benchmark,CZE,2035,4,eu,19922
benchmark,CZE,2035,4,native,1044722
benchmark,CZE,2035,4,non-eu,76784
benchmark,CZE,2035,5,eu,70763
benchmark,CZE,2035,5,native,5816644
benchmark,CZE,2035,5,non-eu,216316
benchmark,CZE,2035,6,eu,50566
benchmark,CZE,2035,6,native,2349151
benchmark,CZE,2035,6,non-eu,113425
benchmark,CZE,2040,1,eu,783
benchmark,CZE,2040,1,native,6426
benchmark,CZE,2040,1,non-eu,18102
benchmark,CZE,2040,2,eu,1659
benchmark,CZE,2040,2,native,17426
benchmark,CZE,2040,2,non-eu,20419
benchmark,CZE,2040,3,eu,4359
benchmark,CZE,2040,3,native,21975
benchmark,CZE,2040,3,non-eu,34952
benchmark,CZE,2040,4,eu,16954
benchmark,CZE,2040,4,native,890280
benchmark,CZE,2040,4,non-eu,79690
benchmark,CZE,2040,5,eu,68968
benchmark,CZE,2040,5,native,5622052
benchmark,CZE,2040,5,non-eu,243744
benchmark,CZE,2040,6,eu,49622
