scenario,dest,year,nativity,pop
benchmark,DNK,2020,native,4931263
benchmark,DNK,2020,non-eu,412491
benchmark,DNK,2025,eu,198904
benchmark,DNK,2025,native,4973328
benchmark,DNK,2025,non-eu,490587
benchmark,DNK,2030,eu,196822
benchmark,DNK,2030,native,5019813
benchmark,DNK,2030,non-eu,582712
benchmark,DNK,2035,eu,192099
benchmark,DNK,2035,native,5065747
benchmark,DNK,2035,non-eu,688350
benchmark,DNK,2040,eu,185260
benchmark,DNK,2040,native,5111803
benchmark,DNK,2040,non-eu,808986
benchmark,DNK,2045,eu,176761
benchmark,DNK,2045,native,5163304
benchmark,DNK,2045,non-eu,948361
benchmark,DNK,2050,eu,167052
benchmark,DNK,2050,native,5228714
benchmark,DNK,2050,non-eu,1110723
benchmark,ESP,2015,eu,1879673
benchmark,ESP,2015,native,40205583
benchmark,ESP,2015,non-eu,3797138
benchmark,ESP,2020,eu,1891364
benchmark,ESP,2020,native,40143018
benchmark,ESP,2020,non-eu,4319197
benchmark,ESP,2025,eu,1868548
benchmark,ESP,2025,native,39806230
benchmark,ESP,2025,non-eu,4896239
benchmark,ESP,2030,eu,1814997
benchmark,ESP,2030,native,39340274
benchmark,ESP,2030,non-eu,5516643
benchmark,ESP,2035,eu,1741780
benchmark,ESP,2035,native,38848842
benchmark,ESP,2035,non-eu,6122707
benchmark,ESP,2040,eu,1654016
benchmark,ESP,2040,native,38401359
benchmark,ESP,2040,non-eu,6674894
benchmark,ESP,2045,eu,1555023
benchmark,ESP,2045,native,37959075
benchmark,ESP,2045,non-eu,7159993
benchmark,ESP,2050,eu,1449793
benchmark,ESP,2050,native,37418190
benchmark,ESP,2050,non-eu,7578337
benchmark,EST,2015,eu,17187
benchmark,EST,2015,native,1107465
benchmark,EST,2015,non-eu,171390
benchmark,EST,2020,eu,20109
benchmark,EST,2020,native,1103228
benchmark,EST,2020,non-eu,192953
benchmark,EST,2025,eu,21528
benchmark,EST,2025,native,1098949
benchmark,EST,2025,non-eu,201636
benchmark,EST,2030,eu,22348
benchmark,EST,2030,native,1091553
benchmark,EST,2030,non-eu,213833
benchmark,EST,2035,eu,23172
benchmark,EST,2035,native,1083730
benchmark,EST,2035,non-eu,228679
benchmark,EST,2040,eu,23693
benchmark,EST,2040,native,1078894
benchmark,EST,2040,non-eu,246103
benchmark,EST,2045,eu,24207
benchmark,EST,2045,native,1076939
benchmark,EST,2045,non-eu,267418
benchmark,EST,2050,eu,24491
benchmark,EST,2050,native,1075940
benchmark,EST,2050,non-eu,293375
benchmark,FIN,2015,eu,108749
benchmark,FIN,2015,native,5149781
benchmark,FIN,2015,non-eu,132299
benchmark,FIN,2020,eu,112956
benchmark,FIN,2020,native,5184689
benchmark,FIN,2020,non-eu,180893
benchmark,FIN,2025,eu,114929
benchmark,FIN,2025,native,5194889
benchmark,FIN,2025,non-eu,224854
benchmark,FIN,2030,eu,114731
benchmark,FIN,2030,native,5196598
benchmark,FIN,2030,non-eu,276670
benchmark,FIN,2035,eu,113032
benchmark,FIN,2035,native,5185800
benchmark,FIN,2035,non-eu,337515
benchmark,FIN,2040,eu,109956
benchmark,FIN,2040,native,5168731
benchmark,FIN,2040,non-eu,409642
benchmark,FIN,2045,eu,105886
benchmark,FIN,2045,native,5157001
benchmark,FIN,2045,non-eu,495619
benchmark,FIN,2050,eu,100913
benchmark,FIN,2050,native,5163598
benchmark,FIN,2050,non-eu,597214
benchmark,FRA,2015,eu,2207156
benchmark,FRA,2015,native,58579815
benchmark,FRA,2015,non-eu,5389095
benchmark,FRA,2020,eu,2081767
