scenario,dest,year,age,nativity,pop
benchmark,AUT,2025,15,non-eu,39564
benchmark,AUT,2025,20,eu,23869
benchmark,AUT,2025,20,native,374058
benchmark,AUT,2025,20,non-eu,45438
benchmark,AUT,2025,25,eu,24811
benchmark,AUT,2025,25,native,403106
benchmark,AUT,2025,25,non-eu,53327
benchmark,AUT,2025,30,eu,43981
benchmark,AUT,2025,30,native,444279
benchmark,AUT,2025,30,non-eu,68677
benchmark,AUT,2025,35,eu,59936
benchmark,AUT,2025,35,native,411434
benchmark,AUT,2025,35,non-eu,91007
benchmark,AUT,2025,40,eu,62023
benchmark,AUT,2025,40,native,421602
benchmark,AUT,2025,40,non-eu,90050
benchmark,AUT,2025,45,eu,61140
benchmark,AUT,2025,45,native,390996
benchmark,AUT,2025,45,non-eu,83766
benchmark,AUT,2025,50,eu,56977
benchmark,AUT,2025,50,native,452981
benchmark,AUT,2025,50,non-eu,85558
benchmark,AUT,2025,55,eu,55002
benchmark,AUT,2025,55,native,542084
benchmark,AUT,2025,55,non-eu,82976
benchmark,AUT,2025,60,eu,45501
benchmark,AUT,2025,60,native,541445
benchmark,AUT,2025,60,non-eu,72004
benchmark,AUT,2025,65,eu,40049
benchmark,AUT,2025,65,native,448290
benchmark,AUT,2025,65,non-eu,58009
benchmark,AUT,2025,70,eu,33956
benchmark,AUT,2025,70,native,348693
benchmark,AUT,2025,70,non-eu,49945
benchmark,AUT,2025,75,eu,25288
benchmark,AUT,2025,75,native,309969
benchmark,AUT,2025,75,non-eu,28304
benchmark,AUT,2025,80,eu,24857
benchmark,AUT,2025,80,native,274764
benchmark,AUT,2025,80,non-eu,13655
benchmark,AUT,2025,85,eu,12548
benchmark,AUT,2025,85,native,147193
benchmark,AUT,2025,85,non-eu,7674
benchmark,AUT,2025,90,eu,4665
benchmark,AUT,2025,90,native,62716
benchmark,AUT,2025,90,non-eu,3637
benchmark,AUT,2025,95,eu,1366
benchmark,AUT,2025,95,native,16624
benchmark,AUT,2025,95,non-eu,2027
benchmark,AUT,2025,100,eu,418
benchmark,AUT,2025,100,native,1903
benchmark,AUT,2025,100,non-eu,1725
benchmark,AUT,2030,0,eu,3840
benchmark,AUT,2030,0,native,360372
benchmark,AUT,2030,0,non-eu,17285
benchmark,AUT,2030,5,eu,8931
benchmark,AUT,2030,5,native,380193
benchmark,AUT,2030,5,non-eu,34199
benchmark,AUT,2030,10,eu,12540
benchmark,AUT,2030,10,native,394691
benchmark,AUT,2030,10,non-eu,45901
benchmark,AUT,2030,15,eu,20420
benchmark,AUT,2030,15,native,384046
benchmark,AUT,2030,15,non-eu,49894
benchmark,AUT,2030,20,eu,25546
benchmark,AUT,2030,20,native,369983
benchmark,AUT,2030,20,non-eu,52760
benchmark,AUT,2030,25,eu,26086
benchmark,AUT,2030,25,native,372198
benchmark,AUT,2030,25,non-eu,57225
benchmark,AUT,2030,30,eu,26994
benchmark,AUT,2030,30,native,400959
benchmark,AUT,2030,30,non-eu,64190
benchmark,AUT,2030,35,eu,43862
benchmark,AUT,2030,35,native,441662
benchmark,AUT,2030,35,non-eu,77975
benchmark,AUT,2030,40,eu,57761
benchmark,AUT,2030,40,native,408906
benchmark,AUT,2030,40,non-eu,97282
benchmark,AUT,2030,45,eu,59567
benchmark,AUT,2030,45,native,418394
benchmark,AUT,2030,45,non-eu,95253
benchmark,AUT,2030,50,eu,59121
benchmark,AUT,2030,50,native,387025
benchmark,AUT,2030,50,non-eu,88195
benchmark,AUT,2030,55,eu,55375
benchmark,AUT,2030,55,native,445534
benchmark,AUT,2030,55,non-eu,87706
benchmark,AUT,2030,60,eu,52979
benchmark,AUT,2030,60,native,527469
benchmark,AUT,2030,60,non-eu,82958
benchmark,AUT,2030,65,eu,43513
benchmark,AUT,2030,65,native,518613
benchmark,AUT,2030,65,non-eu,71711
benchmark,AUT,2030,70,eu,38108
benchmark,AUT,2030,70,native,420203
benchmark,AUT,2030,70,non-eu,57085
benchmark,AUT,2030,75,eu,29099
benchmark,AUT,2030,75,native,319147
benchmark,AUT,2030,75,non-eu,43364
benchmark,AUT,2030,80,eu,20222
benchmark,AUT,2030,80,native,266241
benchmark,AUT,2030,80,non-eu,23396
benchmark,AUT,2030,85,eu,16222
benchmark,AUT,2030,85,native,195885
benchmark,AUT,2030,85,non-eu,10050
benchmark,AUT,2030,90,eu,5982
benchmark,AUT,2030,90,native,74583
benchmark,AUT,2030,90,non-eu,4727
benchmark,AUT,2030,95,eu,1412
benchmark,AUT,2030,95,native,18257
benchmark,AUT,2030,95,non-eu,2229
benchmark,AUT,2030,100,eu,376
benchmark,AUT,2030,100,native,2294
benchmark,AUT,2030,100,non-eu,1742
benchmark,AUT,2035,0,eu,3492
benchmark,AUT,2035,0,native,342710
benchmark,AUT,2035,0,non-eu,19317
benchmark,AUT,2035,5,eu,7332
benchmark,AUT,2035,5,native,358414
benchmark,AUT,2035,5,non-eu,36596
benchmark,AUT,2035,10,eu,11978
benchmark,AUT,2035,10,native,378344
benchmark,AUT,2035,10,non-eu,50695
benchmark,AUT,2035,15,eu,15485
benchmark,AUT,2035,15,native,392747
benchmark,AUT,2035,15,non-eu,60649
benchmark,AUT,2035,20,eu,22505
benchmark,AUT,2035,20,native,382579
benchmark,AUT,2035,20,non-eu,63499
benchmark,AUT,2035,25,eu,27292
benchmark,AUT,2035,25,native,368497
benchmark,AUT,2035,25,non-eu,65208
benchmark,AUT,2035,30,eu,27705
benchmark,AUT,2035,30,native,370591
benchmark,AUT,2035,30,non-eu,68456
benchmark,AUT,2035,35,eu,28334
benchmark,AUT,2035,35,native,398904
benchmark,AUT,2035,35,non-eu,75086
benchmark,AUT,2035,40,eu,43272
