scenario,dest,year,edu,pop
igc,ROU,2020,1,1992456
igc,ROU,2020,2,245500
igc,ROU,2020,3,1339529
igc,ROU,2020,4,4483561
igc,ROU,2020,5,7390243
igc,ROU,2020,6,3798398
igc,ROU,2025,1,955991
igc,ROU,2025,2,188953
igc,ROU,2025,3,1036734
igc,ROU,2025,4,4334061
igc,ROU,2025,5,7777722
igc,ROU,2025,6,4358820
igc,ROU,2030,1,70570
igc,ROU,2030,2,153166
igc,ROU,2030,3,788118
igc,ROU,2030,4,4009506
igc,ROU,2030,5,8133890
igc,ROU,2030,6,4938838
igc,ROU,2035,1,70006
igc,ROU,2035,2,118527
igc,ROU,2035,3,588356
igc,ROU,2035,4,3543453
igc,ROU,2035,5,8040589
igc,ROU,2035,6,5206893
igc,ROU,2040,1,69817
igc,ROU,2040,2,98941
igc,ROU,2040,3,454646
igc,ROU,2040,4,3098729
igc,ROU,2040,5,7881750
igc,ROU,2040,6,5417480
igc,ROU,2045,1,67442
igc,ROU,2045,2,85627
igc,ROU,2045,3,367539
igc,ROU,2045,4,2695345
igc,ROU,2045,5,7625930
igc,ROU,2045,6,5605421
igc,ROU,2050,1,64940
igc,ROU,2050,2,74062
igc,ROU,2050,3,310143
igc,ROU,2050,4,2341766
igc,ROU,2050,5,7299001
igc,ROU,2050,6,5755658
igc,SVK,2015,1,841596
igc,SVK,2015,2,10466
igc,SVK,2015,3,18866
igc,SVK,2015,4,824930
igc,SVK,2015,5,2756029
igc,SVK,2015,6,848716
igc,SVK,2020,1,579188
igc,SVK,2020,2,12651
igc,SVK,2020,3,37617
igc,SVK,2020,4,712310
igc,SVK,2020,5,2942186
igc,SVK,2020,6,1040705
igc,SVK,2025,1,308653
igc,SVK,2025,2,13943
igc,SVK,2025,3,33225
igc,SVK,2025,4,674823
igc,SVK,2025,5,3087272
igc,SVK,2025,6,1189052
igc,SVK,2030,1,29978
igc,SVK,2030,2,14682
igc,SVK,2030,3,34136
igc,SVK,2030,4,623050
igc,SVK,2030,5,3203850
igc,SVK,2030,6,1350575
igc,SVK,2035,1,32775
igc,SVK,2035,2,15128
igc,SVK,2035,3,33430
igc,SVK,2035,4,544250
igc,SVK,2035,5,3128666
igc,SVK,2035,6,1428332
igc,SVK,2040,1,35807
igc,SVK,2040,2,15448
igc,SVK,2040,3,31927
igc,SVK,2040,4,472965
igc,SVK,2040,5,3031984
igc,SVK,2040,6,1507508
igc,SVK,2045,1,37594
igc,SVK,2045,2,16110
igc,SVK,2045,3,31212
igc,SVK,2045,4,407456
igc,SVK,2045,5,2918855
igc,SVK,2045,6,1591413
igc,SVK,2050,1,39193
igc,SVK,2050,2,16353
igc,SVK,2050,3,30536
igc,SVK,2050,4,355093
igc,SVK,2050,5,2790296
igc,SVK,2050,6,1671014
igc,SVN,2015,1,302868
igc,SVN,2015,2,9533
igc,SVN,2015,3,83338
igc,SVN,2015,4,407335
igc,SVN,2015,5,899492
igc,SVN,2015,6,339483
igc,SVN,2020,1,223163
igc,SVN,2020,2,12768
igc,SVN,2020,3,73674
igc,SVN,2020,4,368098
igc,SVN,2020,5,961247
igc,SVN,2020,6,441635
igc,SVN,2025,1,122480
igc,SVN,2025,2,14032
igc,SVN,2025,3,62648
igc,SVN,2025,4,369339
igc,SVN,2025,5,1021026
igc,SVN,2025,6,500828
igc,SVN,2030,1,12740
igc,SVN,2030,2,14835
igc,SVN,2030,3,53244
igc,SVN,2030,4,349378
igc,SVN,2030,5,1084367
igc,SVN,2030,6,575377
igc,SVN,2035,1,12232
igc,SVN,2035,2,15491
igc,SVN,2035,3,45005
igc,SVN,2035,4,312542
igc,SVN,2035,5,1084474
igc,SVN,2035,6,615543
igc,SVN,2040,1,13265
igc,SVN,2040,2,15932
igc,SVN,2040,3,38679
igc,SVN,2040,4,274169
igc,SVN,2040,5,1076112
igc,SVN,2040,6,662606
igc,SVN,2045,1,13941
igc,SVN,2045,2,16815
igc,SVN,2045,3,34495
igc,SVN,2045,4,240270
igc,SVN,2045,5,1057458
igc,SVN,2045,6,715586
igc,SVN,2050,1,14629
igc,SVN,2050,2,17308
igc,SVN,2050,3,31214
igc,SVN,2050,4,213119
igc,SVN,2050,5,1030550
igc,SVN,2050,6,768201
igc,SWE,2015,1,1682180
igc,SWE,2015,2,38959
igc,SWE,2015,3,854358
igc,SWE,2015,4,1183598
igc,SWE,2015,5,3188426
igc,SWE,2015,6,2421160
igc,SWE,2020,1,1272895
igc,SWE,2020,2,52361
igc,SWE,2020,3,709654
igc,SWE,2020,4,1267120
igc,SWE,2020,5,3380797
igc,SWE,2020,6,3002186
igc,SWE,2025,1,731622
igc,SWE,2025,2,72331
igc,SWE,2025,3,582614
igc,SWE,2025,4,1447198
igc,SWE,2025,5,3664669
igc,SWE,2025,6,3477881
igc,SWE,2030,1,129253
igc,SWE,2030,2,95035
igc,SWE,2030,3,489684
igc,SWE,2030,4,1520069
igc,SWE,2030,5,3963134
igc,SWE,2030,6,4060499
igc,SWE,2035,1,123344
igc,SWE,2035,2,113208
igc,SWE,2035,3,397514
igc,SWE,2035,4,1487912
igc,SWE,2035,5,4029883
igc,SWE,2035,6,4395226
igc,SWE,2040,1,132806
igc,SWE,2040,2,129083
igc,SWE,2040,3,328652
igc,SWE,2040,4,1436869
igc,SWE,2040,5,4079288
igc,SWE,2040,6,4770670
igc,SWE,2045,1,137369
igc,SWE,2045,2,144188
igc,SWE,2045,3,287364
igc,SWE,2045,4,1378991
igc,SWE,2045,5,4111519
igc,SWE,2045,6,5206728
igc,SWE,2050,1,139274
igc,SWE,2050,2,158241
igc,SWE,2050,3,263473
igc,SWE,2050,4,1337689
igc,SWE,2050,5,4128362
igc,SWE,2050,6,5669401
no-migration,AUT,2015,1,1226494
no-migration,AUT,2015,2,30289
no-migration,AUT,2015,3,570983
no-migration,AUT,2015,4,1362863
no-migration,AUT,2015,5,3458357
no-migration,AUT,2015,6,1844569
no-migration,AUT,2020,1,809543
no-migration,AUT,2020,2,24465
no-migration,AUT,2020,3,453719
no-migration,AUT,2020,4,1288655
no-migration,AUT,2020,5,3720167
no-migration,AUT,2020,6,2194606
no-migration,AUT,2025,1,406782
no-migration,AUT,2025,2,23163
no-migration,AUT,2025,3,369803
no-migration,AUT,2025,4,1325851
no-migration,AUT,2025,5,3838927
no-migration,AUT,2025,6,2489683
no-migration,AUT,2030,1,1789
no-migration,AUT,2030,2,21002
no-migration,AUT,2030,3,291391
no-migration,AUT,2030,4,1305250
no-migration,AUT,2030,5,3952467
no-migration,AUT,2030,6,2805691
no-migration,AUT,2035,1,1912
no-migration,AUT,2035,2,18079
no-migration,AUT,2035,3,222820
no-migration,AUT,2035,4,1205577
no-migration,AUT,2035,5,3853355
no-migration,AUT,2035,6,2958316
no-migration,AUT,2040,1,2039
no-migration,AUT,2040,2,15985
no-migration,AUT,2040,3,173094
no-migration,AUT,2040,4,1095092
no-migration,AUT,2040,5,3720396
no-migration,AUT,2040,6,3107443
no-migration,AUT,2045,1,2016
no-migration,AUT,2045,2,14017
no-migration,AUT,2045,3,140166
no-migration,AUT,2045,4,983186
no-migration,AUT,2045,5,3556731
no-migration,AUT,2045,6,3250605
no-migration,AUT,2050,1,1954
no-migration,AUT,2050,2,12128
no-migration,AUT,2050,3,118445
no-migration,AUT,2050,4,874231
no-migration,AUT,2050,5,3365202
no-migration,AUT,2050,6,3377993
no-migration,BEL,2015,1,1912702
no-migration,BEL,2015,2,234283
no-migration,BEL,2015,3,1039957
no-migration,BEL,2015,4,2245871
no-migration,BEL,2015,5,2662796
no-migration,BEL,2015,6,2623791
no-migration,BEL,2020,1,1294303
no-migration,BEL,2020,2,195190
no-migration,BEL,2020,3,889904
no-migration,BEL,2020,4,2336928
no-migration,BEL,2020,5,3164572
no-migration,BEL,2020,6,2979105
no-migration,BEL,2025,1,645083
no-migration,BEL,2025,2,162698
no-migration,BEL,2025,3,782409
no-migration,BEL,2025,4,2221317
no-migration,BEL,2025,5,3690124
no-migration,BEL,2025,6,3478152
no-migration,BEL,2030,1,2025
no-migration,BEL,2030,2,132373
no-migration,BEL,2030,3,674988
no-migration,BEL,2030,4,2150663
no-migration,BEL,2030,5,4073980
no-migration,BEL,2030,6,4025403
no-migration,BEL,2035,1,2243
no-migration,BEL,2035,2,103820
no-migration,BEL,2035,3,569857
no-migration,BEL,2035,4,1953633
no-migration,BEL,2035,5,4221492
no-migration,BEL,2035,6,4260248
no-migration,BEL,2040,1,2471
no-migration,BEL,2040,2,80920
no-migration,BEL,2040,3,479095
no-migration,BEL,2040,4,1763712
no-migration,BEL,2040,5,4287359
no-migration,BEL,2040,6,4528990
no-migration,BEL,2045,1,2466
no-migration,BEL,2045,2,61542
no-migration,BEL,2045,3,402129
no-migration,BEL,2045,4,1560599
no-migration,BEL,2045,5,4309312
no-migration,BEL,2045,6,4804947
no-migration,BEL,2050,1,2400
no-migration,BEL,2050,2,45532
no-migration,BEL,2050,3,340855
no-migration,BEL,2050,4,1373349
no-migration,BEL,2050,5,4277377
no-migration,BEL,2050,6,5056766
no-migration,BGR,2015,1,998209
no-migration,BGR,2015,2,148504
no-migration,BGR,2015,3,347754
no-migration,BGR,2015,4,1507311
no-migration,BGR,2015,5,2786192
no-migration,BGR,2015,6,1407777
no-migration,BGR,2020,1,697090
no-migration,BGR,2020,2,110430
no-migration,BGR,2020,3,258259
no-migration,BGR,2020,4,1361263
no-migration,BGR,2020,5,2928051
no-migration,BGR,2020,6,1620871
no-migration,BGR,2025,1,360125
no-migration,BGR,2025,2,108201
no-migration,BGR,2025,3,246790
no-migration,BGR,2025,4,1253104
no-migration,BGR,2025,5,3042643
no-migration,BGR,2025,6,1735331
no-migration,BGR,2030,1,27697
no-migration,BGR,2030,2,102738
no-migration,BGR,2030,3,227436
no-migration,BGR,2030,4,1130929
no-migration,BGR,2030,5,3148495
no-migration,BGR,2030,6,1873292
no-migration,BGR,2035,1,29578
no-migration,BGR,2035,2,92139
no-migration,BGR,2035,3,205084
no-migration,BGR,2035,4,962208
no-migration,BGR,2035,5,3082925
no-migration,BGR,2035,6,1904685
no-migration,BGR,2040,1,28949
no-migration,BGR,2040,2,85904
no-migration,BGR,2040,3,189696
no-migration,BGR,2040,4,812455
no-migration,BGR,2040,5,2995419
no-migration,BGR,2040,6,1941847
no-migration,BGR,2045,1,27773
no-migration,BGR,2045,2,79891
no-migration,BGR,2045,3,175472
no-migration,BGR,2045,4,694090
no-migration,BGR,2045,5,2881025
no-migration,BGR,2045,6,1986659
no-migration,BGR,2050,1,26479
no-migration,BGR,2050,2,74326
no-migration,BGR,2050,3,163206
no-migration,BGR,2050,4,602223
no-migration,BGR,2050,5,2752257
no-migration,BGR,2050,6,2024942
no-migration,CYP,2015,1,138932
no-migration,CYP,2015,2,34186
no-migration,CYP,2015,3,108055
no-migration,CYP,2015,4,97065
no-migration,CYP,2015,5,234829
no-migration,CYP,2015,6,217508
no-migration,CYP,2020,1,95272
no-migration,CYP,2020,2,25050
no-migration,CYP,2020,3,94780
no-migration,CYP,2020,4,99745
no-migration,CYP,2020,5,255443
no-migration,CYP,2020,6,274922
no-migration,CYP,2025,1,49768
no-migration,CYP,2025,2,19149
no-migration,CYP,2025,3,84399
no-migration,CYP,2025,4,94248
no-migration,CYP,2025,5,284332
no-migration,CYP,2025,6,325654
no-migration,CYP,2030,1,1312
no-migration,CYP,2030,2,13939
no-migration,CYP,2030,3,72648
no-migration,CYP,2030,4,94244
no-migration,CYP,2030,5,305049
no-migration,CYP,2030,6,375408
no-migration,CYP,2035,1,1334
no-migration,CYP,2035,2,9706
no-migration,CYP,2035,3,60041
no-migration,CYP,2035,4,85892
no-migration,CYP,2035,5,306634
no-migration,CYP,2035,6,398066
no-migration,CYP,2040,1,1274
no-migration,CYP,2040,2,6771
no-migration,CYP,2040,3,48206
no-migration,CYP,2040,4,77804
no-migration,CYP,2040,5,302332
no-migration,CYP,2040,6,420534
no-migration,CYP,2045,1,1224
no-migration,CYP,2045,2,4799
no-migration,CYP,2045,3,37665
no-migration,CYP,2045,4,69502
no-migration,CYP,2045,5,294434
no-migration,CYP,2045,6,441497
no-migration,CYP,2050,1,1182
no-migration,CYP,2050,2,3571
no-migration,CYP,2050,3,28910
no-migration,CYP,2050,4,61924
no-migration,CYP,2050,5,283345
no-migration,CYP,2050,6,459011
no-migration,CZE,2015,1,1601404
no-migration,CZE,2015,2,42358
no-migration,CZE,2015,3,48622
no-migration,CZE,2015,4,1503153
no-migration,CZE,2015,5,5508317
no-migration,CZE,2015,6,1559398
no-migration,CZE,2020,1,1138155
no-migration,CZE,2020,2,32527
no-migration,CZE,2020,3,40594
no-migration,CZE,2020,4,1335583
no-migration,CZE,2020,5,5833960
no-migration,CZE,2020,6,1844274
no-migration,CZE,2025,1,563876
no-migration,CZE,2025,2,30695
no-migration,CZE,2025,3,40748
no-migration,CZE,2025,4,1389121
no-migration,CZE,2025,5,6023967
no-migration,CZE,2025,6,2073003
no-migration,CZE,2030,1,8094
no-migration,CZE,2030,2,28074
no-migration,CZE,2030,3,37947
no-migration,CZE,2030,4,1281741
no-migration,CZE,2030,5,6248373
no-migration,CZE,2030,6,2345633
no-migration,CZE,2035,1,7863
no-migration,CZE,2035,2,23922
no-migration,CZE,2035,3,33069
no-migration,CZE,2035,4,1103047
no-migration,CZE,2035,5,6077570
no-migration,CZE,2035,6,2489649
no-migration,CZE,2040,1,7176
no-migration,CZE,2040,2,20738
no-migration,CZE,2040,3,29002
no-migration,CZE,2040,4,940821
no-migration,CZE,2040,5,5880244
no-migration,CZE,2040,6,2639253
no-migration,CZE,2045,1,6742
no-migration,CZE,2045,2,17575
no-migration,CZE,2045,3,25289
no-migration,CZE,2045,4,797820
no-migration,CZE,2045,5,5662220
no-migration,CZE,2045,6,2795510
no-migration,CZE,2050,1,6482
no-migration,CZE,2050,2,14494
no-migration,CZE,2050,3,21983
no-migration,CZE,2050,4,696089
no-migration,CZE,2050,5,5409840
no-migration,CZE,2050,6,2936177
no-migration,DEU,2015,1,11186081
no-migration,DEU,2015,2,260805
no-migration,DEU,2015,3,5240054
no-migration,DEU,2015,4,11783728
no-migration,DEU,2015,5,29819093
no-migration,DEU,2015,6,20133597
no-migration,DEU,2020,1,7101511
no-migration,DEU,2020,2,209107
no-migration,DEU,2020,3,3472474
no-migration,DEU,2020,4,11507511
no-migration,DEU,2020,5,31562381
no-migration,DEU,2020,6,23829727
no-migration,DEU,2025,1,3446781
no-migration,DEU,2025,2,168163
no-migration,DEU,2025,3,3905326
no-migration,DEU,2025,4,10830145
no-migration,DEU,2025,5,32200638
no-migration,DEU,2025,6,26093594
no-migration,DEU,2030,1,4471
no-migration,DEU,2030,2,134025
no-migration,DEU,2030,3,3592866
no-migration,DEU,2030,4,9968460
no-migration,DEU,2030,5,32624909
no-migration,DEU,2030,6,29023346
no-migration,DEU,2035,1,5153
no-migration,DEU,2035,2,103354
no-migration,DEU,2035,3,3196336
no-migration,DEU,2035,4,8822842
no-migration,DEU,2035,5,31408871
no-migration,DEU,2035,6,30327304
no-migration,DEU,2040,1,5784
no-migration,DEU,2040,2,82131
no-migration,DEU,2040,3,2898992
no-migration,DEU,2040,4,7854786
no-migration,DEU,2040,5,30012565
no-migration,DEU,2040,6,31375237
no-migration,DEU,2045,1,6139
no-migration,DEU,2045,2,66960
no-migration,DEU,2045,3,2646566
no-migration,DEU,2045,4,7019530
no-migration,DEU,2045,5,28466225
no-migration,DEU,2045,6,32256047
no-migration,DEU,2050,1,6410
no-migration,DEU,2050,2,55176
no-migration,DEU,2050,3,2389517
no-migration,DEU,2050,4,6246415
no-migration,DEU,2050,5,26806315
no-migration,DEU,2050,6,32987758
no-migration,DNK,2015,1,961815
no-migration,DNK,2015,2,11735
no-migration,DNK,2015,3,48045
no-migration,DNK,2015,4,1482568
no-migration,DNK,2015,5,1762672
no-migration,DNK,2015,6,1143274
no-migration,DNK,2020,1,628661
no-migration,DNK,2020,2,9914
no-migration,DNK,2020,3,42434
no-migration,DNK,2020,4,1327406
no-migration,DNK,2020,5,1989660
no-migration,DNK,2020,6,1469186
no-migration,DNK,2025,1,299027
no-migration,DNK,2025,2,10676
no-migration,DNK,2025,3,40426
no-migration,DNK,2025,4,1366182
no-migration,DNK,2025,5,2133359
no-migration,DNK,2025,6,1658342
no-migration,DNK,2030,1,1741
no-migration,DNK,2030,2,10491
no-migration,DNK,2030,3,38023
no-migration,DNK,2030,4,1271395
no-migration,DNK,2030,5,2280077
no-migration,DNK,2030,6,1939566
no-migration,DNK,2035,1,1863
no-migration,DNK,2035,2,9587
no-migration,DNK,2035,3,33473
no-migration,DNK,2035,4,1142367
no-migration,DNK,2035,5,2276170
no-migration,DNK,2035,6,2094934
no-migration,DNK,2040,1,1943
no-migration,DNK,2040,2,8964
no-migration,DNK,2040,3,29908
no-migration,DNK,2040,4,1046100
no-migration,DNK,2040,5,2243821
no-migration,DNK,2040,6,2226834
no-migration,DNK,2045,1,1914
no-migration,DNK,2045,2,8142
no-migration,DNK,2045,3,26396
no-migration,DNK,2045,4,967074
no-migration,DNK,2045,5,2198972
no-migration,DNK,2045,6,2337946
no-migration,DNK,2050,1,1845
no-migration,DNK,2050,2,7217
no-migration,DNK,2050,3,22689
no-migration,DNK,2050,4,889525
no-migration,DNK,2050,5,2152560
no-migration,DNK,2050,6,2438633
no-migration,ESP,2015,1,7279847
no-migration,ESP,2015,2,4360969
no-migration,ESP,2015,3,5718424
no-migration,ESP,2015,4,10759801
no-migration,ESP,2015,5,7951482
no-migration,ESP,2015,6,9811871
no-migration,ESP,2020,1,4861023
no-migration,ESP,2020,2,3486347
no-migration,ESP,2020,3,4959567
no-migration,ESP,2020,4,11418283
no-migration,ESP,2020,5,9104898
no-migration,ESP,2020,6,12007719
no-migration,ESP,2025,1,2333483
no-migration,ESP,2025,2,2907777
no-migration,ESP,2025,3,5031716
no-migration,ESP,2025,4,11221063
no-migration,ESP,2025,5,10292847
no-migration,ESP,2025,6,13682031
no-migration,ESP,2030,1,71449
no-migration,ESP,2030,2,2347224
no-migration,ESP,2030,3,4734417
no-migration,ESP,2030,4,10959763
no-migration,ESP,2030,5,11169433
no-migration,ESP,2030,6,15615801
no-migration,ESP,2035,1,79617
no-migration,ESP,2035,2,1851879
no-migration,ESP,2035,3,4333832
no-migration,ESP,2035,4,10066192
no-migration,ESP,2035,5,11294293
no-migration,ESP,2035,6,16591087
no-migration,ESP,2040,1,82421
no-migration,ESP,2040,2,1464124
no-migration,ESP,2040,3,3942134
no-migration,ESP,2040,4,9147977
no-migration,ESP,2040,5,11308013
no-migration,ESP,2040,6,17541158
no-migration,ESP,2045,1,82351
no-migration,ESP,2045,2,1161204
no-migration,ESP,2045,3,3538157
no-migration,ESP,2045,4,8229954
no-migration,ESP,2045,5,11214903
no-migration,ESP,2045,6,18430106
no-migration,ESP,2050,1,81188
no-migration,ESP,2050,2,935686
no-migration,ESP,2050,3,3155574
no-migration,ESP,2050,4,7318806
no-migration,ESP,2050,5,11017795
no-migration,ESP,2050,6,19112042
no-migration,EST,2015,1,209680
no-migration,EST,2015,2,8998
no-migration,EST,2015,3,64936
no-migration,EST,2015,4,184219
no-migration,EST,2015,5,439037
no-migration,EST,2015,6,389172
no-migration,EST,2020,1,147686
no-migration,EST,2020,2,6681
no-migration,EST,2020,3,47334
no-migration,EST,2020,4,180446
no-migration,EST,2020,5,451470
no-migration,EST,2020,6,453324
no-migration,EST,2025,1,73324
no-migration,EST,2025,2,5283
no-migration,EST,2025,3,47195
no-migration,EST,2025,4,178861
no-migration,EST,2025,5,463581
no-migration,EST,2025,6,503748
no-migration,EST,2030,1,1549
no-migration,EST,2030,2,4110
no-migration,EST,2030,3,40891
no-migration,EST,2030,4,170116
no-migration,EST,2030,5,476944
no-migration,EST,2030,6,556891
no-migration,EST,2035,1,1658
no-migration,EST,2035,2,3162
no-migration,EST,2035,3,35675
no-migration,EST,2035,4,151559
no-migration,EST,2035,5,459884
no-migration,EST,2035,6,574780
no-migration,EST,2040,1,1659
no-migration,EST,2040,2,2577
no-migration,EST,2040,3,32080
no-migration,EST,2040,4,135168
no-migration,EST,2040,5,440354
no-migration,EST,2040,6,592312
no-migration,EST,2045,1,1632
no-migration,EST,2045,2,2111
no-migration,EST,2045,3,29203
no-migration,EST,2045,4,120708
no-migration,EST,2045,5,419040
no-migration,EST,2045,6,609719
no-migration,EST,2050,1,1590
no-migration,EST,2050,2,1731
no-migration,EST,2050,3,27492
no-migration,EST,2050,4,109278
no-migration,EST,2050,5,396140
no-migration,EST,2050,6,623191
no-migration,FIN,2015,1,895525
no-migration,FIN,2015,2,4084
no-migration,FIN,2015,3,12995
no-migration,FIN,2015,4,1449036
no-migration,FIN,2015,5,1738909
no-migration,FIN,2015,6,1290280
no-migration,FIN,2020,1,602814
no-migration,FIN,2020,2,3410
no-migration,FIN,2020,3,48944
no-migration,FIN,2020,4,1231866
no-migration,FIN,2020,5,1909574
no-migration,FIN,2020,6,1637855
no-migration,FIN,2025,1,300336
no-migration,FIN,2025,2,4489
no-migration,FIN,2025,3,81198
no-migration,FIN,2025,4,1125497
no-migration,FIN,2025,5,2126430
no-migration,FIN,2025,6,1815756
no-migration,FIN,2030,1,1458
no-migration,FIN,2030,2,4777
no-migration,FIN,2030,3,83549
no-migration,FIN,2030,4,997488
no-migration,FIN,2030,5,2306752
no-migration,FIN,2030,6,2067670
no-migration,FIN,2035,1,1608
no-migration,FIN,2035,2,4678
no-migration,FIN,2035,3,84853
no-migration,FIN,2035,4,857168
no-migration,FIN,2035,5,2329820
no-migration,FIN,2035,6,2174298
no-migration,FIN,2040,1,1733
no-migration,FIN,2040,2,4638
no-migration,FIN,2040,3,83972
no-migration,FIN,2040,4,735059
no-migration,FIN,2040,5,2327023
no-migration,FIN,2040,6,2276558
no-migration,FIN,2045,1,1712
no-migration,FIN,2045,2,4429
no-migration,FIN,2045,3,83496
no-migration,FIN,2045,4,633611
no-migration,FIN,2045,5,2296273
no-migration,FIN,2045,6,2379756
no-migration,FIN,2050,1,1655
no-migration,FIN,2050,2,4121
no-migration,FIN,2050,3,82451
no-migration,FIN,2050,4,553052
no-migration,FIN,2050,5,2250327
no-migration,FIN,2050,6,2482106
no-migration,FRA,2015,1,12332447
no-migration,FRA,2015,2,767176
no-migration,FRA,2015,3,8461252
no-migration,FRA,2015,4,10249047
no-migration,FRA,2015,5,21163916
no-migration,FRA,2015,6,13202228
no-migration,FRA,2020,1,8215192
no-migration,FRA,2020,2,636788
no-migration,FRA,2020,3,7489229
no-migration,FRA,2020,4,10123329
no-migration,FRA,2020,5,23428400
no-migration,FRA,2020,6,17351272
no-migration,FRA,2025,1,4075336
no-migration,FRA,2025,2,555348
no-migration,FRA,2025,3,6766768
no-migration,FRA,2025,4,9710721
no-migration,FRA,2025,5,25749101
no-migration,FRA,2025,6,21229258
no-migration,FRA,2030,1,111571
no-migration,FRA,2030,2,479668
no-migration,FRA,2030,3,5849763
no-migration,FRA,2030,4,9397407
no-migration,FRA,2030,5,27566122
no-migration,FRA,2030,6,25509810
no-migration,FRA,2035,1,119700
no-migration,FRA,2035,2,393220
no-migration,FRA,2035,3,4961895
no-migration,FRA,2035,4,8655401
no-migration,FRA,2035,5,27524215
no-migration,FRA,2035,6,28079291
no-migration,FRA,2040,1,118739
no-migration,FRA,2040,2,325487
no-migration,FRA,2040,3,4163502
no-migration,FRA,2040,4,7966304
no-migration,FRA,2040,5,27266406
no-migration,FRA,2040,6,30600675
no-migration,FRA,2045,1,116856
no-migration,FRA,2045,2,265281
no-migration,FRA,2045,3,3483039
no-migration,FRA,2045,4,7324396
no-migration,FRA,2045,5,26727929
no-migration,FRA,2045,6,33021396
no-migration,FRA,2050,1,114772
no-migration,FRA,2050,2,211551
no-migration,FRA,2050,3,2944773
no-migration,FRA,2050,4,6687704
no-migration,FRA,2050,5,26003863
no-migration,FRA,2050,6,35292371
no-migration,GBR,2015,1,12150685
no-migration,GBR,2015,2,224818
no-migration,GBR,2015,3,537984
no-migration,GBR,2015,4,18847553
no-migration,GBR,2015,5,17841332
no-migration,GBR,2015,6,14778647
no-migration,GBR,2020,1,7942455
no-migration,GBR,2020,2,188559
no-migration,GBR,2020,3,429165
no-migration,GBR,2020,4,18705243
no-migration,GBR,2020,5,19439512
no-migration,GBR,2020,6,18848358
no-migration,GBR,2025,1,4058602
no-migration,GBR,2025,2,175126
no-migration,GBR,2025,3,389219
no-migration,GBR,2025,4,17050047
no-migration,GBR,2025,5,22581280
no-migration,GBR,2025,6,22148348
no-migration,GBR,2030,1,35051
no-migration,GBR,2030,2,158922
no-migration,GBR,2030,3,348348
no-migration,GBR,2030,4,16057926
no-migration,GBR,2030,5,24681792
no-migration,GBR,2030,6,25696562
no-migration,GBR,2035,1,5831
no-migration,GBR,2035,2,135281
no-migration,GBR,2035,3,290161
no-migration,GBR,2035,4,14178389
no-migration,GBR,2035,5,25073566
no-migration,GBR,2035,6,27650350
no-migration,GBR,2040,1,6554
no-migration,GBR,2040,2,117714
no-migration,GBR,2040,3,250513
no-migration,GBR,2040,4,12455849
no-migration,GBR,2040,5,25209929
no-migration,GBR,2040,6,29547316
no-migration,GBR,2045,1,6984
no-migration,GBR,2045,2,100925
no-migration,GBR,2045,3,214396
no-migration,GBR,2045,4,10904299
no-migration,GBR,2045,5,25099228
no-migration,GBR,2045,6,31511908
no-migration,GBR,2050,1,7301
no-migration,GBR,2050,2,84533
no-migration,GBR,2050,3,179970
no-migration,GBR,2050,4,9511033
no-migration,GBR,2050,5,24811971
no-migration,GBR,2050,6,33458163
no-migration,GRC,2015,1,1601281
no-migration,GRC,2015,2,696063
no-migration,GRC,2015,3,2229739
no-migration,GRC,2015,4,1205048
no-migration,GRC,2015,5,2704422
no-migration,GRC,2015,6,2365094
no-migration,GRC,2020,1,1075097
no-migration,GRC,2020,2,512633
no-migration,GRC,2020,3,1950696
no-migration,GRC,2020,4,1269437
no-migration,GRC,2020,5,2995323
no-migration,GRC,2020,6,2875920
no-migration,GRC,2025,1,533000
no-migration,GRC,2025,2,384643
no-migration,GRC,2025,3,1800905
no-migration,GRC,2025,4,1219347
no-migration,GRC,2025,5,3271296
no-migration,GRC,2025,6,3309545
no-migration,GRC,2030,1,37481
no-migration,GRC,2030,2,276750
no-migration,GRC,2030,3,1585948
no-migration,GRC,2030,4,1172360
no-migration,GRC,2030,5,3484139
no-migration,GRC,2030,6,3779563
no-migration,GRC,2035,1,42789
no-migration,GRC,2035,2,192328
no-migration,GRC,2035,3,1358962
no-migration,GRC,2035,4,1080823
no-migration,GRC,2035,5,3467841
no-migration,GRC,2035,6,4002635
no-migration,GRC,2040,1,45088
no-migration,GRC,2040,2,137241
no-migration,GRC,2040,3,1144090
no-migration,GRC,2040,4,983139
no-migration,GRC,2040,5,3429246
no-migration,GRC,2040,6,4209304
no-migration,GRC,2045,1,45629
no-migration,GRC,2045,2,102430
no-migration,GRC,2045,3,944591
no-migration,GRC,2045,4,894968
no-migration,GRC,2045,5,3353457
no-migration,GRC,2045,6,4392838
no-migration,GRC,2050,1,45637
no-migration,GRC,2050,2,80471
no-migration,GRC,2050,3,769726
no-migration,GRC,2050,4,811510
no-migration,GRC,2050,5,3250125
no-migration,GRC,2050,6,4534451
no-migration,HRV,2015,1,629166
no-migration,HRV,2015,2,53197
no-migration,HRV,2015,3,78663
no-migration,HRV,2015,4,982363
no-migration,HRV,2015,5,1795254
no-migration,HRV,2015,6,639627
no-migration,HRV,2020,1,421741
no-migration,HRV,2020,2,36393
no-migration,HRV,2020,3,61523
no-migration,HRV,2020,4,848041
no-migration,HRV,2020,5,1976166
no-migration,HRV,2020,6,775261
no-migration,HRV,2025,1,209018
no-migration,HRV,2025,2,26575
no-migration,HRV,2025,3,50290
