scenario,year,dest,pop_total,pop_female,pop_male,sex_ratio,no_edu,some_primary,primary,low_second,upp_second,post_second,native,foriegn,foriegn_non_eu,foriegn_eu
benchmark,2015,AUT,8493555,4343612,4149943,95.54129144131657,14.440290314244153,0.35661157195073206,6.722544329200199,16.0458488818875,40.7174263309062,21.717278571811214,83.59663297641565,16.40336702358435,8.722554925469959,7.6808120981143935
benchmark,2015,BEL,10719400,5449307,5270093,96.71125154079225,17.843368098960763,2.1855980745190964,9.701634419836932,20.951461835550496,24.84090527454895,24.477032296583765,84.94643356904305,15.053566430956957,7.519012258148777,7.534554172808179
benchmark,2015,BGR,7195747,3697203,3498544,94.62677597091638,13.872208125160599,2.063774615755668,4.832771357859024,20.947248423270022,38.71998278983405,19.564014688120636,98.35516729534821,1.6448327046517897,1.0475493371292792,0.5972833675225102
benchmark,2015,CYP,830575,427396,403179,94.33382624076968,16.72720705535322,4.115943773891581,13.009661981157633,11.686482256268247,28.273063841314748,26.18764109201457,79.4663937633567,20.53360623664329,9.364115221382777,11.169491015260512
benchmark,2015,CZE,10263252,5228414,5034838,96.29761529978308,15.603280519663748,0.41271519007815455,0.47374847660371194,14.645971861550317,53.67028891037655,15.193995041727515,96.18421139810268,3.8157886018973324,2.3064521849409916,1.509336416956341
benchmark,2015,DEU,78423358,40014655,38408703,95.98659041293746,14.263710819421938,0.3325603578464467,6.681751628130997,15.025788617722796,38.02322899766674,25.67295957921108,89.64519346391671,10.354806536083293,5.169413939148079,5.185392596935214
benchmark,2015,DNK,5410109,2716763,2693346,99.13805510454905,17.778107612988943,0.21690875359442852,0.888059741495042,27.40366229220151,32.58108108357891,21.132180516141172,90.17631622579138,9.823683774208616,6.261685300610393,3.561998473598221
benchmark,2015,ESP,45882394,23351569,22530825,96.48527257418978,15.866319006806837,9.504667520182142,12.463220641887169,23.450827347849373,17.330137568671766,21.38482791460271,87.62747427695251,12.372525723047493,8.275806183958057,4.096719539089438
benchmark,2015,EST,1296042,692303,603739,87.20733551638517,16.178488042825773,0.694267624043048,5.010331455307775,14.213968374481691,33.875213920536524,30.027730582805184,85.44977709055726,14.55022290944275,13.224108477965993,1.3261144314767577
benchmark,2015,FIN,5390829,2734251,2656578,97.15925860500737,16.612009024957015,0.07575829246299595,0.24105754421073272,26.879650606613563,32.25680131942601,23.934723212329683,95.52855414260033,4.471445857399669,2.454149445289398,2.0172964121102708
benchmark,2015,FRA,66176066,34146152,32029914,93.8024114693802,18.63581162409987,1.1592952654514095,12.785970081690865,15.487543487399206,31.981224148319725,19.950155393038926,88.52115053197632,11.478849468023682,8.143571121317486,3.335278346706194
benchmark,2015,GBR,64381019,32685700,31695319,96.96998687499426,18.87308587023141,0.3491991948745018,0.8356251708286879,29.27501504752511,27.71209943104504,22.954975285495248,87.62389579450428,12.376104205495722,8.147637427111864,4.228466778383859
benchmark,2015,GRC,10801647,5562692,5238955,94.1802098696099,14.824415202607527,6.44404506090599,20.64258348749964,11.15615053889467,25.037126282686334,21.895679427405838,89.01510112300467,10.984898876995333,8.045550831276008,2.939348045719324
benchmark,2015,HRV,4178270,2163467,2014803,93.12843690243484,15.058050341409244,1.2731824415368083,1.8826691429706555,23.51123790468304,42.96644304939604,15.308417120004211,87.53632484257838,12.463675157421612,10.902359110349499,1.5613160470721137
benchmark,2015,HUN,9816295,5138803,4677492,91.02298725987356,14.546241733770227,0.5406622355990728,1.0924590183974707,26.034995892034622,39.464390587283695,18.321250532914913,95.55029672600509,4.449703273994924,1.4895844104114637,2.96011886358346
benchmark,2015,IRL,4491062,2270679,2220383,97.78497973513649,21.663183451931857,1.3905619650764116,11.021557929950644,16.57518867474998,23.828172490159343,25.521335488131758,83.88376735836646,16.116232641633538,4.5519300334753785,11.56430260815816
benchmark,2015,ITA,60490116,31142823,29347293,94.2345303763888,13.87318715011226,4.15437788216508,16.308809855811816,24.502502193912143,27.211756380166307,13.949366537832395,90.90788815812488,9.092111841875125,6.229680564672748,2.862431277202378
benchmark,2015,LTU,2916765,1572907,1343858,85.43785487635314,14.587291057044363,0.8245093451135076,8.461703291146184,11.884399325965582,25.156843283569298,39.085253697161065,95.48376369025273,4.5162363097472715,3.8782349623641257,0.6380013473831454
benchmark,2015,LUX,508616,252484,256132,101.4448440297207,18.398162857637196,0.8538858392185853,10.038221369363134,16.021713827327495,31.63762052314516,23.05039558330843,54.813651163156486,45.186348836843514,8.665673120782673,36.52067571606084
benchmark,2015,LVA,1978231,1070965,907266,84.71481327587736,15.05031515530795,0.9016641635885799,4.061153626649264,16.382566040063065,33.85888705616281,29.745413958228333,86.9807418850478,13.019258114952198,11.638731776016046,1.3805263389361504
benchmark,2015,MLT,435412,217567,217845,100.12777673084614,14.331483744131996,1.7068891073282317,17.98113051546581,32.26805875814171,16.300882841997925,17.411555032934327,88.89603410103534,11.103965898964658,5.329435109735147,5.7745307892295115
benchmark,2015,NLD,16481557,8314019,8167538,98.23814451229904,17.142591564619774,1.5611510490180023,7.259405164208697,21.44466690859365,28.219445529327114,24.372739784232763,89.43848569646666,10.561514303533336,7.52863943618919,3.0328748673441472
benchmark,2015,POL,37024050,19120105,17903945,93.63936547419588,15.400765178309776,1.0238588160938633,15.157998652227404,4.138291191806407,46.18975503760394,18.089331123958615,98.41010640381049,1.589893596189504,1.0334795896180997,0.5564140065714043
benchmark,2015,PRT,10334022,5436353,4897669,90.09107760294447,14.685985766238934,9.209850724142061,34.075406458395385,15.9565172204975,13.25183940967031,12.820400421055812,92.02062856069013,7.979371439309883,6.067008566461345,1.9123628728485387
